------------------------------------------------------------------------------------------------------------
Test id: 1
Note: This are the results from a SINGLE observation using the following values
Compensation: 0.0€
OC probability: 1%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 41  | 15      24   | 27     0      17   | 702      5        733  | 44,0    0,0     1023,0 | 15       30   |
 42  | 16      10   | 15     0      19   | 717      5        752  | 20,0    0,0     1043,0 | 16       21   |
 43  | 17      12   | 16     0      16   | 733      5        768  | 22,0    0,0     1065,0 | 17       17   |
 44  | 11      16   | 17     0      10   | 750      5        778  | 24,0    0,0     1089,0 | 11       23   |
 45  | 13      12   | 11     0      14   | 761      5        792  | 12,0    0,0     1101,0 | 13       21   |
 46  | 15      11   | 13     0      13   | 774      5        805  | 16,0    0,0     1117,0 | 15       19   |
 47  | 20      18   | 15     0      14   | 789      5        819  | 20,0    0,0     1137,0 | 20       23   |
 48  | 26      15   | 20     0      17   | 809      5        836  | 30,0    0,0     1167,0 | 26       21   |
 49  | 7       3    | 26     0      15   | 835      5        851  | 42,0    0,0     1209,0 | 7        9    |
 50  | 17      26   | 7      0      8    | 842      5        859  | 7,0     0,0     1216,0 | 17       27   |
 51  | 26      20   | 17     0      21   | 859      5        880  | 24,0    0,0     1240,0 | 26       26   |
 52  | 16      15   | 25     1      15   | 884      6        895  | 40,0    0,0     1280,0 | 16       26   |
 53  | 5       10   | 16     0      18   | 900      6        913  | 22,0    0,0     1302,0 | 5        18   |
 54  | 11      12   | 5      0      17   | 905      6        930  | 5,0     0,0     1307,0 | 11       13   |
 55  | 16      32   | 11     0      7    | 916      6        937  | 12,0    0,0     1319,0 | 16       38   |
 56  | 11      19   | 16     0      28   | 932      6        965  | 22,0    0,0     1341,0 | 11       29   |
 57  | 16      11   | 11     0      24   | 943      6        989  | 12,0    0,0     1353,0 | 16       16   |
 58  | 18      20   | 16     0      12   | 959      6        1001 | 22,0    0,0     1375,0 | 18       24   |
 59  | 6       7    | 17     1      17   | 976      7        1018 | 24,0    0,0     1399,0 | 6        14   |
 60  | 8       4    | 6      0      12   | 982      7        1030 | 6,0     0,0     1405,0 | 8        6    |
 61  | 21      21   | 8      0      4    | 990      7        1034 | 8,0     0,0     1413,0 | 21       23   |
 62  | 18      20   | 20     1      15   | 1010     8        1049 | 30,0    0,0     1443,0 | 18       28   |
 63  | 10      5    | 18     0      19   | 1028     8        1068 | 26,0    0,0     1469,0 | 10       14   |
 64  | 10      15   | 10     0      10   | 1038     8        1078 | 10,0    0,0     1479,0 | 10       19   |
 65  | 16      8    | 10     0      15   | 1048     8        1093 | 10,0    0,0     1489,0 | 16       12   |
 66  | 20      26   | 16     0      8    | 1064     8        1101 | 22,0    0,0     1511,0 | 20       30   |
 67  | 11      8    | 20     0      25   | 1084     8        1126 | 30,0    0,0     1541,0 | 11       13   |
 68  | 20      24   | 11     0      11   | 1095     8        1137 | 12,0    0,0     1553,0 | 20       26   |
 69  | 14      7    | 20     0      19   | 1115     8        1156 | 30,0    0,0     1583,0 | 14       14   |
 70  | 20      19   | 14     0      8    | 1129     8        1164 | 18,0    0,0     1601,0 | 20       25   |
 71  | 19      29   | 20     0      20   | 1149     8        1184 | 30,0    0,0     1631,0 | 19       34   |
 72  | 7       11   | 19     0      29   | 1168     8        1213 | 28,0    0,0     1659,0 | 7        16   |
 73  | 6       14   | 7      0      12   | 1175     8        1225 | 7,0     0,0     1666,0 | 6        18   |
 74  | 16      12   | 6      0      13   | 1181     8        1238 | 6,0     0,0     1672,0 | 16       17   |
 75  | 8       5    | 16     0      13   | 1197     8        1251 | 22,0    0,0     1694,0 | 8        9    |
 76  | 17      18   | 8      0      8    | 1205     8        1259 | 8,0     0,0     1702,0 | 17       19   |
 77  | 6       13   | 17     0      13   | 1222     8        1272 | 24,0    0,0     1726,0 | 6        19   |
 78  | 24      20   | 5      1      13   | 1227     9        1285 | 5,0     0,0     1731,0 | 24       26   |
 79  | 14      11   | 24     0      21   | 1251     9        1306 | 38,0    0,0     1769,0 | 14       16   |
 80  | 12      10   | 14     0      13   | 1265     9        1319 | 18,0    0,0     1787,0 | 12       13   |
 81  | 14      15   | 12     0      10   | 1277     9        1329 | 14,0    0,0     1801,0 | 14       18   |
 82  | 21      17   | 14     0      11   | 1291     9        1340 | 18,0    0,0     1819,0 | 21       24   |
 83  | 15      17   | 21     0      17   | 1312     9        1357 | 32,0    0,0     1851,0 | 15       24   |
 84  | 18      16   | 15     0      18   | 1327     9        1375 | 20,0    0,0     1871,0 | 18       22   |
 85  | 11      14   | 17     1      19   | 1344     10       1394 | 24,0    0,0     1895,0 | 11       17   |
 86  | 14      19   | 11     0      14   | 1355     10       1408 | 12,0    0,0     1907,0 | 14       22   |
 87  | 11      7    | 14     0      16   | 1369     10       1424 | 18,0    0,0     1925,0 | 11       13   |
 88  | 12      21   | 11     0      10   | 1380     10       1434 | 12,0    0,0     1937,0 | 12       24   |
 89  | 12      5    | 12     0      18   | 1392     10       1452 | 14,0    0,0     1951,0 | 12       11   |
 90  | 19      19   | 11     1      9    | 1403     11       1461 | 12,0    0,0     1963,0 | 19       21   |
 91  | 5       14   | 19     0      15   | 1422     11       1476 | 28,0    0,0     1991,0 | 5        20   |
 92  | 6       9    | 5      0      15   | 1427     11       1491 | 5,0     0,0     1996,0 | 6        14   |
 93  | 8       15   | 6      0      11   | 1433     11       1502 | 6,0     0,0     2002,0 | 8        18   |
 94  | 18      21   | 7      1      14   | 1440     12       1516 | 7,0     0,0     2009,0 | 18       25   |
 95  | 12      14   | 18     0      20   | 1458     12       1536 | 26,0    0,0     2035,0 | 12       19   |
 96  | 11      6    | 11     1      10   | 1469     13       1546 | 12,0    0,0     2047,0 | 11       15   |
 97  | 26      17   | 11     0      10   | 1480     13       1556 | 12,0    0,0     2059,0 | 26       22   |
 98  | 16      16   | 26     0      18   | 1506     13       1574 | 42,0    0,0     2101,0 | 16       20   |
 99  | 6       7    | 16     0      16   | 1522     13       1590 | 22,0    0,0     2123,0 | 6        11   |
 100 | 11      12   | 6      0      6    | 1528     13       1596 | 6,0     0,0     2129,0 | 11       17   |
 101 | 17      20   | 11     0      12   | 1539     13       1608 | 12,0    0,0     2141,0 | 17       25   |
 102 | 11      11   | 15     2      20   | 1554     15       1628 | 20,0    0,0     2161,0 | 11       16   |
 103 | 23      25   | 11     0      11   | 1565     15       1639 | 12,0    0,0     2173,0 | 23       30   |
 104 | 24      16   | 23     0      21   | 1588     15       1660 | 36,0    0,0     2209,0 | 24       25   |
 105 | 23      23   | 24     0      17   | 1612     15       1677 | 38,0    0,0     2247,0 | 23       31   |
 106 | 20      20   | 23     0      25   | 1635     15       1702 | 36,0    0,0     2283,0 | 20       26   |
 107 | 15      12   | 20     0      20   | 1655     15       1722 | 30,0    0,0     2313,0 | 15       18   |
 108 | 16      14   | 15     0      16   | 1670     15       1738 | 20,0    0,0     2333,0 | 16       16   |
 109 | 18      12   | 16     0      11   | 1686     15       1749 | 22,0    0,0     2355,0 | 18       17   |
 110 | 22      8    | 18     0      14   | 1704     15       1763 | 26,0    0,0     2381,0 | 22       11   |
 111 | 3       11   | 22     0      9    | 1726     15       1772 | 34,0    0,0     2415,0 | 3        13   |
 112 | 13      8    | 3      0      10   | 1729     15       1782 | 3,0     0,0     2418,0 | 13       11   |
 113 | 25      12   | 13     0      8    | 1742     15       1790 | 16,0    0,0     2434,0 | 25       15   |
 114 | 20      25   | 25     0      12   | 1767     15       1802 | 40,0    0,0     2474,0 | 20       28   |
 115 | 29      17   | 20     0      23   | 1787     15       1825 | 30,0    0,0     2504,0 | 29       22   |
 116 | 8       9    | 29     0      18   | 1816     15       1843 | 48,0    0,0     2552,0 | 8        13   |
 117 | 22      17   | 8      0      8    | 1824     15       1851 | 8,0     0,0     2560,0 | 22       22   |
 118 | 10      8    | 22     0      17   | 1846     15       1868 | 34,0    0,0     2594,0 | 10       13   |
 119 | 23      23   | 10     0      9    | 1856     15       1877 | 10,0    0,0     2604,0 | 23       27   |
 120 | 24      17   | 23     0      21   | 1879     15       1898 | 36,0    0,0     2640,0 | 24       23   |
--------------------
Compensation: 0.0€
OC probability: 1%

Total cost: (2437,9 ; 2444,5)

Maximum number of packages stored: (59 ; 59)

------------------------------------------------------------------------------------------------------------
Test id: 2
Note: This are the results from a SINGLE observation using the following values
Compensation: 0.5€
OC probability: 25%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 t   | home    lckr | pf     oc     lckr | pf       oc       lckr | pf       oc        ACC | home     lckr |
------------------------------------------------------------------------------------------------------------
 1   | 18      13   | 0      0      0    | 0        0        0    | 0,0     0,0        0,0 | 18       13   |
 2   | 6       5    | 18     0      9    | 18       0        9    | 26,0    0,0       26,0 | 6        9    |
 3   | 12      20   | 3      3      7    | 21       3        16   | 3,0     1,5       30,5 | 12       22   |
 4   | 17      29   | 2      10     21   | 23       13       37   | 2,0     5,0       37,5 | 17       30   |
 5   | 25      24   | 13     4      23   | 36       17       60   | 16,0    2,0       55,5 | 25       31   |
 6   | 15      9    | 19     6      24   | 55       23       84   | 28,0    3,0       86,5 | 15       16   |
 7   | 14      16   | 12     3      14   | 67       26       98   | 14,0    1,5      102,0 | 14       18   |
 8   | 8       7    | 12     2      11   | 79       28       109  | 14,0    1,0      117,0 | 8        14   |
 9   | 8       4    | 5      3      12   | 84       31       121  | 5,0     1,5      123,5 | 8        6    |
 10  | 16      15   | 8      0      4    | 92       31       125  | 8,0     0,0      131,5 | 16       17   |
 11  | 17      12   | 13     3      16   | 105      34       141  | 16,0    1,5      149,0 | 17       13   |
 12  | 17      19   | 13     4      10   | 118      38       151  | 16,0    2,0      167,0 | 17       22   |
 13  | 14      21   | 13     4      17   | 131      42       168  | 16,0    2,0      185,0 | 14       26   |
 14  | 22      18   | 10     4      20   | 141      46       188  | 10,0    2,0      197,0 | 22       24   |
 15  | 19      18   | 16     6      20   | 157      52       208  | 22,0    3,0      222,0 | 19       22   |
 16  | 17      27   | 11     8      16   | 168      60       224  | 12,0    4,0      238,0 | 17       33   |
 17  | 12      6    | 9      8      24   | 177      68       248  | 9,0     4,0      251,0 | 12       15   |
 18  | 10      18   | 11     1      14   | 188      69       262  | 12,0    0,5      263,5 | 10       19   |
 19  | 21      14   | 4      6      16   | 192      75       278  | 4,0     3,0      270,5 | 21       17   |
 20  | 17      17   | 18     3      11   | 210      78       289  | 26,0    1,5      298,0 | 17       23   |
 21  | 24      26   | 15     2      19   | 225      80       308  | 20,0    1,0      319,0 | 24       30   |
 22  | 15      24   | 22     2      23   | 247      82       331  | 34,0    1,0      354,0 | 15       31   |
 23  | 15      7    | 10     5      18   | 257      87       349  | 10,0    2,5      366,5 | 15       20   |
 24  | 4       7    | 14     1      15   | 271      88       364  | 18,0    0,5      385,0 | 4        12   |
 25  | 13      15   | 1      3      9    | 272      91       373  | 1,0     1,5      387,5 | 13       18   |
 26  | 16      21   | 11     2      12   | 283      93       385  | 12,0    1,0      400,5 | 16       27   |
 27  | 24      20   | 12     4      17   | 295      97       402  | 14,0    2,0      416,5 | 24       30   |
 28  | 13      18   | 20     4      26   | 315      101      428  | 30,0    2,0      448,5 | 13       22   |
 29  | 7       3    | 10     3      16   | 325      104      444  | 10,0    1,5      460,0 | 7        9    |
 30  | 17      13   | 5      2      9    | 330      106      453  | 5,0     1,0      466,0 | 17       13   |
 31  | 8       10   | 15     2      9    | 345      108      462  | 20,0    1,0      487,0 | 8        14   |
 32  | 14      11   | 3      5      12   | 348      113      474  | 3,0     2,5      492,5 | 14       13   |
 33  | 21      16   | 12     2      12   | 360      115      486  | 14,0    1,0      507,5 | 21       17   |
 34  | 27      23   | 13     8      15   | 373      123      501  | 16,0    4,0      527,5 | 27       25   |
 35  | 15      18   | 23     4      17   | 396      127      518  | 36,0    2,0      565,5 | 15       26   |
 36  | 21      21   | 12     3      17   | 408      130      535  | 14,0    1,5      581,0 | 21       30   |
 37  | 10      7    | 13     8      24   | 421      138      559  | 16,0    4,0      601,0 | 10       13   |
 38  | 17      17   | 9      1      10   | 430      139      569  | 9,0     0,5      610,5 | 17       20   |
 39  | 6       6    | 15     2      15   | 445      141      584  | 20,0    1,0      631,5 | 6        11   |
 40  | 22      15   | 5      1      8    | 450      142      592  | 5,0     0,5      637,0 | 22       18   |
 41  | 20      14   | 19     3      13   | 469      145      605  | 28,0    1,5      666,5 | 20       19   |
 42  | 6       10   | 19     1      13   | 488      146      618  | 28,0    0,5      695,0 | 6        16   |
 43  | 15      12   | 1      5      12   | 489      151      630  | 1,0     2,5      698,5 | 15       16   |
 44  | 21      20   | 13     2      12   | 502      153      642  | 16,0    1,0      715,5 | 21       24   |
 45  | 17      22   | 17     4      16   | 519      157      658  | 24,0    2,0      741,5 | 17       30   |
 46  | 20      21   | 11     6      20   | 530      163      678  | 12,0    3,0      756,5 | 20       31   |
 47  | 23      21   | 15     5      26   | 545      168      704  | 20,0    2,5      779,0 | 23       26   |
 48  | 21      27   | 20     3      15   | 565      171      719  | 30,0    1,5      810,5 | 21       38   |
 49  | 21      23   | 17     4      25   | 582      175      744  | 24,0    2,0      836,5 | 21       36   |
 50  | 6       4    | 16     5      25   | 598      180      769  | 22,0    2,5      861,0 | 6        15   |
 51  | 16      12   | 3      3      10   | 601      183      779  | 3,0     1,5      865,5 | 16       17   |
 52  | 9       11   | 11     5      16   | 612      188      795  | 12,0    2,5      880,0 | 9        12   |
 53  | 9       10   | 6      3      11   | 618      191      806  | 6,0     1,5      887,5 | 9        11   |
 54  | 7       4    | 8      1      5    | 626      192      811  | 8,0     0,5      896,0 | 7        10   |
 55  | 10      12   | 7      0      7    | 633      192      818  | 7,0     0,0      903,0 | 10       15   |
 56  | 11      12   | 7      3      11   | 640      195      829  | 7,0     1,5      911,5 | 11       16   |
 57  | 15      16   | 8      3      15   | 648      198      844  | 8,0     1,5      921,0 | 15       17   |
 58  | 22      11   | 12     3      14   | 660      201      858  | 14,0    1,5      936,5 | 22       14   |
 59  | 20      21   | 18     4      11   | 678      205      869  | 26,0    2,0      964,5 | 20       24   |
 60  | 5       5    | 13     7      13   | 691      212      882  | 16,0    3,5      984,0 | 5        16   |
 61  | 6       10   | 3      2      10   | 694      214      892  | 3,0     1,0      988,0 | 6        16   |
 62  | 6       4    | 5      1      9    | 699      215      901  | 5,0     0,5      993,5 | 6        11   |
 63  | 13      8    | 3      3      8    | 702      218      909  | 3,0     1,5      998,0 | 13       11   |
 64  | 15      15   | 10     3      9    | 712      221      918  | 10,0    1,5     1009,5 | 15       17   |
 65  | 22      20   | 12     3      11   | 724      224      929  | 14,0    1,5     1025,0 | 22       26   |
 66  | 24      24   | 15     7      22   | 739      231      951  | 20,0    3,5     1048,5 | 24       28   |
 67  | 11      11   | 16     8      22   | 755      239      973  | 22,0    4,0     1074,5 | 11       17   |
 68  | 10      8    | 8      3      14   | 763      242      987  | 8,0     1,5     1084,0 | 10       11   |
 69  | 24      23   | 9      1      8    | 772      243      995  | 9,0     0,5     1093,5 | 24       26   |
 70  | 26      23   | 20     4      18   | 792      247      1013 | 30,0    2,0     1125,5 | 26       31   |
 71  | 15      27   | 19     7      22   | 811      254      1035 | 28,0    3,5     1157,0 | 15       36   |
 72  | 9       9    | 5      10     28   | 816      264      1063 | 5,0     5,0     1167,0 | 9        17   |
 73  | 29      18   | 4      5      12   | 820      269      1075 | 4,0     2,5     1173,5 | 29       23   |
 74  | 20      23   | 23     6      20   | 843      275      1095 | 36,0    3,0     1212,5 | 20       26   |
 75  | 18      12   | 17     3      20   | 860      278      1115 | 24,0    1,5     1238,0 | 18       18   |
 76  | 8       9    | 12     6      13   | 872      284      1128 | 14,0    3,0     1255,0 | 8        14   |
 77  | 23      24   | 7      1      10   | 879      285      1138 | 7,0     0,5     1262,5 | 23       28   |
 78  | 16      16   | 16     7      24   | 895      292      1162 | 22,0    3,5     1288,0 | 16       20   |
 79  | 8       10   | 10     6      16   | 905      298      1178 | 10,0    3,0     1301,0 | 8        14   |
 80  | 27      19   | 5      3      8    | 910      301      1186 | 5,0     1,5     1307,5 | 27       25   |
 81  | 8       13   | 23     4      20   | 933      305      1206 | 36,0    2,0     1345,5 | 8        18   |
 82  | 13      16   | 4      4      14   | 937      309      1220 | 4,0     2,0     1351,5 | 13       20   |
 83  | 12      4    | 11     2      14   | 948      311      1234 | 12,0    1,0     1364,5 | 12       10   |
 84  | 25      21   | 10     2      9    | 958      313      1243 | 10,0    1,0     1375,5 | 25       22   |
 85  | 21      17   | 21     4      15   | 979      317      1258 | 32,0    2,0     1409,5 | 21       24   |
 86  | 8       13   | 19     2      17   | 998      319      1275 | 28,0    1,0     1438,5 | 8        20   |
 87  | 2       9    | 6      2      17   | 1004     321      1292 | 6,0     1,0     1445,5 | 2        12   |
 88  | 16      12   | 0      2      10   | 1004     323      1302 | 0,0     1,0     1446,5 | 16       14   |
 89  | 3       14   | 13     3      9    | 1017     326      1311 | 16,0    1,5     1464,0 | 3        19   |
 90  | 11      6    | 1      2      14   | 1018     328      1325 | 1,0     1,0     1466,0 | 11       11   |
 91  | 14      15   | 11     0      7    | 1029     328      1332 | 12,0    0,0     1478,0 | 14       19   |
 92  | 11      15   | 13     1      12   | 1042     329      1344 | 16,0    0,5     1494,5 | 11       22   |
 93  | 7       7    | 5      6      20   | 1047     335      1364 | 5,0     3,0     1502,5 | 7        9    |
 94  | 21      27   | 6      1      8    | 1053     336      1372 | 6,0     0,5     1509,0 | 21       28   |
 95  | 17      18   | 14     7      22   | 1067     343      1394 | 18,0    3,5     1530,5 | 17       24   |
 96  | 8       13   | 12     5      19   | 1079     348      1413 | 14,0    2,5     1547,0 | 8        18   |
 97  | 13      17   | 6      2      13   | 1085     350      1426 | 6,0     1,0     1554,0 | 13       22   |
 98  | 24      22   | 10     3      17   | 1095     353      1443 | 10,0    1,5     1565,5 | 24       27   |
 99  | 3       8    | 20     4      20   | 1115     357      1463 | 30,0    2,0     1597,5 | 3        15   |
 100 | 9       3    | 0      3      13   | 1115     360      1476 | 0,0     1,5     1599,0 | 9        5    |
 101 | 17      31   | 8      1      5    | 1123     361      1481 | 8,0     0,5     1607,5 | 17       31   |
 102 | 9       3    | 11     6      21   | 1134     367      1502 | 12,0    3,0     1622,5 | 9        13   |
 103 | 17      17   | 7      2      11   | 1141     369      1513 | 7,0     1,0     1630,5 | 17       19   |
 104 | 8       11   | 15     2      14   | 1156     371      1527 | 20,0    1,0     1651,5 | 8        16   |
 105 | 10      13   | 6      2      12   | 1162     373      1539 | 6,0     1,0     1658,5 | 10       17   |
 106 | 16      19   | 8      2      13   | 1170     375      1552 | 8,0     1,0     1667,5 | 16       23   |
 107 | 11      5    | 11     5      14   | 1181     380      1566 | 12,0    2,5     1682,0 | 11       14   |
 108 | 12      9    | 9      2      10   | 1190     382      1576 | 9,0     1,0     1692,0 | 12       13   |
 109 | 8       6    | 10     2      10   | 1200     384      1586 | 10,0    1,0     1703,0 | 8        9    |
 110 | 15      17   | 7      1      4    | 1207     385      1590 | 7,0     0,5     1710,5 | 15       22   |
 111 | 17      15   | 13     2      19   | 1220     387      1609 | 16,0    1,0     1727,5 | 17       18   |
 112 | 7       12   | 15     2      13   | 1235     389      1622 | 20,0    1,0     1748,5 | 7        17   |
 113 | 18      19   | 5      2      15   | 1240     391      1637 | 5,0     1,0     1754,5 | 18       21   |
 114 | 14      21   | 12     6      16   | 1252     397      1653 | 14,0    3,0     1771,5 | 14       26   |
 115 | 25      22   | 9      5      22   | 1261     402      1675 | 9,0     2,5     1783,0 | 25       26   |
 116 | 19      7    | 19     6      17   | 1280     408      1692 | 28,0    3,0     1814,0 | 19       16   |
 117 | 12      14   | 12     7      15   | 1292     415      1707 | 14,0    3,5     1831,5 | 12       15   |
 118 | 18      27   | 8      4      12   | 1300     419      1719 | 8,0     2,0     1841,5 | 18       30   |
 119 | 17      22   | 13     5      23   | 1313     424      1742 | 16,0    2,5     1860,0 | 17       29   |
 120 | 21      24   | 11     6      22   | 1324     430      1764 | 12,0    3,0     1875,0 | 21       31   |
--------------------
Compensation: 0.5€
OC probability: 25%

Total cost: (1935,8 ; 1941,3)

Maximum number of packages stored: (59 ; 59)

------------------------------------------------------------------------------------------------------------
Test id: 3
Note: This are the results from a SINGLE observation using the following values
Compensation: 1.0€
OC probability: 50%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 t   | home    lckr | pf     oc     lckr | pf       oc       lckr | pf       oc        ACC | home     lckr |
------------------------------------------------------------------------------------------------------------
 1   | 16      17   | 0      0      0    | 0        0        0    | 0,0     0,0        0,0 | 16       17   |
 2   | 17      19   | 6      10     15   | 6        10       15   | 6,0     10,0      16,0 | 17       21   |
 3   | 9       12   | 7      10     20   | 13       20       35   | 7,0     10,0      33,0 | 9        13   |
 4   | 16      17   | 7      2      8    | 20       22       43   | 7,0     2,0       42,0 | 16       22   |
 5   | 13      21   | 4      12     18   | 24       34       61   | 4,0     12,0      58,0 | 13       25   |
 6   | 19      18   | 5      8      18   | 29       42       79   | 5,0     8,0       71,0 | 19       25   |
 7   | 26      21   | 7      12     18   | 36       54       97   | 7,0     12,0      90,0 | 26       28   |
 8   | 22      20   | 16     10     19   | 52       64       116  | 22,0    10,0     122,0 | 22       29   |
 9   | 18      12   | 14     8      25   | 66       72       141  | 18,0    8,0      148,0 | 18       16   |
 10  | 30      19   | 7      11     13   | 73       83       154  | 7,0     11,0     166,0 | 30       22   |
 11  | 32      17   | 20     10     20   | 93       93       174  | 30,0    10,0     206,0 | 32       19   |
 12  | 8       2    | 23     9      17   | 116      102      191  | 36,0    9,0      251,0 | 8        4    |
 13  | 32      13   | 6      2      2    | 122      104      193  | 6,0     2,0      259,0 | 32       15   |
 14  | 25      19   | 25     7      13   | 147      111      206  | 40,0    7,0      306,0 | 25       21   |
 15  | 15      15   | 14     11     17   | 161      122      223  | 18,0    11,0     335,0 | 15       19   |
 16  | 14      8    | 5      10     15   | 166      132      238  | 5,0     10,0     350,0 | 14       12   |
 17  | 19      28   | 10     4      10   | 176      136      248  | 10,0    4,0      364,0 | 19       30   |
 18  | 18      25   | 6      13     22   | 182      149      270  | 6,0     13,0     383,0 | 18       33   |
 19  | 16      12   | 5      13     20   | 187      162      290  | 5,0     13,0     401,0 | 16       25   |
 20  | 21      10   | 7      9      16   | 194      171      306  | 7,0     9,0      417,0 | 21       19   |
 21  | 13      11   | 15     6      13   | 209      177      319  | 20,0    6,0      443,0 | 13       17   |
 22  | 30      19   | 9      4      13   | 218      181      332  | 9,0     4,0      456,0 | 30       23   |
 23  | 7       7    | 19     11     17   | 237      192      349  | 28,0    11,0     495,0 | 7        13   |
 24  | 20      19   | 5      2      9    | 242      194      358  | 5,0     2,0      502,0 | 20       23   |
 25  | 6       11   | 11     9      15   | 253      203      373  | 12,0    9,0      523,0 | 6        19   |
 26  | 12      9    | 0      6      15   | 253      209      388  | 0,0     6,0      529,0 | 12       13   |
 27  | 19      31   | 6      6      9    | 259      215      397  | 6,0     6,0      541,0 | 19       35   |
 28  | 10      11   | 8      11     28   | 267      226      425  | 8,0     11,0     560,0 | 10       18   |
 29  | 13      18   | 7      3      11   | 274      229      436  | 7,0     3,0      570,0 | 13       25   |
 30  | 4       6    | 1      12     20   | 275      241      456  | 1,0     12,0     583,0 | 4        11   |
 31  | 11      10   | 0      4      7    | 275      245      463  | 0,0     4,0      587,0 | 11       14   |
 32  | 31      19   | 7      4      11   | 282      249      474  | 7,0     4,0      598,0 | 31       22   |
